,Quantidade de Frases por RQ,,,
Artigo,RQ1,RQ2,RQ3,Total Geral
A1,18,2,3,23
A10,6,,,6
A100,11,3,4,18
A101,9,1,1,11
A102,5,1,2,8
A103,8,1,2,11
A104,22,3,3,28
A105,7,3,3,13
A106,5,1,1,7
A107,8,2,2,12
A108,12,2,1,15
A109,7,2,3,12
A11,14,2,5,21
A110,10,1,4,15
A112,11,3,2,16
A113,4,2,3,9
A114,4,3,3,10
A115,9,,1,10
A116,1,1,1,3
A117,2,,2,4
A118,3,,1,4
A119,1,,1,2
A12,12,3,5,20
A120,2,,1,3
A121,,,1,1
A122,7,3,3,13
A124,4,2,3,9
A125,3,3,3,9
A127,11,6,,17
A128,4,3,2,9
A129,5,3,3,11
A13,13,3,3,19
A130,5,2,3,10
A131,11,2,4,17
A132,5,3,3,11
A133,6,3,3,12
A134,4,3,3,10
A135,5,4,3,12
A136,6,3,5,14
A137,10,3,5,18
A138,9,2,2,13
A139,6,3,3,12
A14,13,3,4,20
A140,3,2,4,9
A141,3,2,3,8
A142,5,3,5,13
A143,5,3,3,11
A144,11,3,3,17
A145,6,3,5,14
A146,5,2,3,10
A147,4,2,4,10
A15,7,2,2,11
A16,8,2,2,12
A17,5,2,1,8
A18,7,2,3,12
A19,9,1,2,12
A2,13,2,3,18
A20,12,3,4,19
A21,13,,5,18
A22,18,5,4,27
A23,18,,3,21
A24,10,1,3,14
A25,10,3,3,16
A26,16,4,3,23
A27,9,2,,11
A28,12,3,2,17
A29,13,2,2,17
A3,14,3,2,19
A30,8,1,2,11
A31,11,2,1,14
A32,12,3,3,18
A33,9,2,2,13
A34,8,2,1,11
A35,8,2,3,13
A36,14,5,6,25
A37,9,2,1,12
A38,14,5,3,22
A39,9,2,3,14
A4,5,,2,7
A40,11,3,3,17
A41,9,4,3,16
A42,7,3,,10
A43,6,3,2,11
A44,9,3,3,15
A45,14,2,3,19
A46,9,3,2,14
A47,11,3,3,17
A48,7,2,2,11
A49,17,4,4,25
A5,5,1,2,8
A50,21,2,4,27
A51,22,4,5,31
A52,11,2,2,15
A53,15,1,2,18
A54,11,2,2,15
A55,8,2,1,11
A56,9,2,1,12
A57,14,2,4,20
A58,11,2,3,16
A59,16,3,3,22
A6,10,2,,12
A60,12,3,2,17
A61,21,3,3,27
A62,7,2,1,10
A63,7,1,1,9
A64,16,3,3,22
A65,15,1,4,20
A66,12,2,1,15
A67,20,4,3,27
A68,14,1,1,16
A69,18,3,4,25
A7,8,3,5,16
A70,13,3,3,19
A71,10,4,1,15
A72,13,3,3,19
A73,14,3,3,20
A74,6,,,6
A75,19,3,3,25
A76,14,2,3,19
A77,13,3,3,19
A78,9,2,1,12
A79,5,2,2,9
A8,25,2,1,28
A80,11,3,1,15
A81,7,2,3,12
A82,10,2,2,14
A83,11,1,1,13
A84,13,3,4,20
A85,9,,1,10
A86,11,3,3,17
A87,10,3,2,15
A88,9,2,3,14
A89,7,2,2,11
A9,14,3,9,26
A90,17,3,4,24
A91,13,5,3,21
A92,8,2,3,13
A93,9,2,3,14
A94,6,2,1,9
A95,4,1,1,6
A96,13,2,2,17
A97,20,4,4,28
A98,13,2,3,18
A99,14,3,4,21
Total Geral,1434,331,375,2140
