FileName,ResearchQuestion,Theme,Subject,Sentence,DominantTopic,TopicKeywords
A1,RQ1,Principles and Values,User focus,Usability: C&C technology must match human abilities of both the operators and the end users.,0,"systems, data, security, system, privacy, users, development, computing"
A1,RQ1,Principles and Values,Privacy and Security,Security/Privacy: We must protect the security and privacy of C&C users from criminals and terrorists while preventing the Orwellian vision of Big Brother.,0,"systems, data, security, system, privacy, users, development, computing"
A1,RQ1,Principles and Values,Architecture,Massively Parallel Microprocessors. [...] another bold challenge is how to advance the SPUR manifesto when the hardware building block is a computer rather than a transistor.,3,"design, principles, community, people, need, thinking, must, patterns"
A1,RQ1,Objective and Motivation,Criticism of the current situation and the need for cultural change,But we now are all painfully aware of the drawbacks of 20th century C&C.,1,"software, part, astronomical, engineering, integral, quality, come, projects"
A1,RQ1,Main Guidelines,Simplify and improve usability,C&C technology must match human abilities of both the operators and the end users.,0,"systems, data, security, system, privacy, users, development, computing"
A1,RQ1,Main Guidelines,Ensure security and privacy,We must protect the security and privacy of C&C users from criminals and terrorists.,0,"systems, data, security, system, privacy, users, development, computing"
A1,RQ1,Main Guidelines,Adapt and evolve,another bold challenge is how to advance the SPUR manifesto.,4,"process, mining, data, business, provides, bridge, modeling, important"
A1,RQ1,Impact and Applicability,Promote collaboration and communication,Consider this a call to arms for tackling that challenge.,3,"design, principles, community, people, need, thinking, must, patterns"
A1,RQ1,Call to Action,Challenge the status quo,Consider this a call to arms for tackling that challenge.,3,"design, principles, community, people, need, thinking, must, patterns"
A1,RQ1,Call to Action,Creating a better future,If we instead rise to these challenges to address weaknesses while leveraging new opportunities [...] then I believe the legacy of 21st century C&C will be one that we can be proud of.,2,"research, open, work, future, extent, basic, also, community"
A1,RQ3,Relationship with SWeBok,Software architecture,Massively Parallel Microprocessors [...] another bold challenge is how to advance the SPUR manifesto when the hardware building block is a computer rather than a transistor.,3,"design, principles, community, people, need, thinking, must, patterns"
A1,RQ3,Relationship with SWeBok,Software Quality,Reliability: We need to create C&C the world can depend upon.,3,"design, principles, community, people, need, thinking, must, patterns"
A1,RQ3,Relationship with SWeBok,Software Security,Security/Privacy: We must protect the security and privacy of C&C users from criminals and terrorists.,0,"systems, data, security, system, privacy, users, development, computing"
A2,RQ1,Main Guidelines,Adopt new technologies and approaches,We need to privilege the sensing and sensible human ‘interpreter’ over the sensing and ‘once-and-for-all-interpreted’ system.,0,"systems, data, security, system, privacy, users, development, computing"
A2,RQ1,Main Guidelines,Develop tools and techniques,Creative practices in the arts can fruitfully drive practical and conceptual attempts to address the Performative Development of such applications.,0,"systems, data, security, system, privacy, users, development, computing"
A2,RQ1,Main Guidelines,Conduct research and experiments,These attempts have a strong explorative component and focus on the social aspects of the creative achievement.,0,"systems, data, security, system, privacy, users, development, computing"
A2,RQ1,Main Guidelines,Simplify and improve usability,In these cases the director is looking for ways of making the mediating artefacts in order for the performance to become more transparent to actors’ inner traits and personality.,0,"systems, data, security, system, privacy, users, development, computing"
A2,RQ1,Impact and Applicability,Promote collaboration and communication,The central point that emerged from the observations is that the mobile multimedia records emerged collaboratively and that the relevance of the media collections of a member resided in the way they were combined with the ones of the other members.,2,"research, open, work, future, extent, basic, also, community"
A2,RQ1,Call to Action,Creating a better future,Our agenda heavily relies on the generative roles of such principles from media studies. The perspective in which we frame and apply them is that of authorship and participation as a form of skilled appropriation.,3,"design, principles, community, people, need, thinking, must, patterns"
A2,RQ3,Relationship with SWeBok,Software Design,The object of our design interventions is to engage people in creative activities in which a major contribution in their imaginative work is to create new human relationships while they tackle with the urge of socially determine their presence in a newly created space.,3,"design, principles, community, people, need, thinking, must, patterns"
A2,RQ3,Relationship with SWeBok,Software Engineering Professional Practice,The practical wisdom in the performing arts can be applied by devising activities with interactive technology.,3,"design, principles, community, people, need, thinking, must, patterns"
